community_id,year_in_program,ngo_id,tribe_id,N_indiv,time,arm,tau_strata,D,u_comm_p,e_ar,Y,outcome,u_comm_v
1,1,3,5,107,1,control,-0.2343481977105929,0,0.1421155131417898,-0.43009121464217337,21,soc_outcome,NA
1,1,3,5,107,6,control,-0.2343481977105929,0,0.1421155131417898,-0.5466331473898123,14,soc_outcome,NA
1,1,3,5,107,12,control,-0.2343481977105929,0,0.1421155131417898,-0.9453615705543372,24,soc_outcome,NA
2,2,4,3,103,1,T1,-0.01576260096676793,1,0.47270918785767735,0.1924362046480339,83,soc_outcome,NA
2,2,4,3,103,6,T1,-0.01576260096676793,1,0.47270918785767735,-1.1974356396544017,24,soc_outcome,NA
2,2,4,3,103,12,T1,-0.01576260096676793,1,0.47270918785767735,0.31196575707021557,28,soc_outcome,NA
3,1,5,1,110,1,T1,1.1430308704651866,1,-0.2632383034696948,1.4395983446056555,231,soc_outcome,NA
3,1,5,1,110,6,T1,1.1430308704651866,1,-0.2632383034696948,0.16989578595549892,160,soc_outcome,NA
3,1,5,1,110,12,T1,1.1430308704651866,1,-0.2632383034696948,-0.10154971249182365,139,soc_outcome,NA
4,3,5,2,106,1,T1,1.6545787587125842,1,0.4245128313092972,0.7541241757404644,463,soc_outcome,NA
4,3,5,2,106,6,T1,1.6545787587125842,1,0.4245128313092972,-0.19485506737489663,354,soc_outcome,NA
4,3,5,2,106,12,T1,1.6545787587125842,1,0.4245128313092972,0.13570523907720403,327,soc_outcome,NA
5,2,5,2,91,1,T1,0.8649926264007856,1,-0.19606769374919308,0.35852251960848824,100,soc_outcome,NA
5,2,5,2,91,6,T1,0.8649926264007856,1,-0.19606769374919308,-0.8235871487969486,22,soc_outcome,NA
5,2,5,2,91,12,T1,0.8649926264007856,1,-0.19606769374919308,0.9718261640842459,272,soc_outcome,NA
6,1,6,5,113,1,T1,-1.6744185021797509,1,-0.24270219279983973,-0.2327965781360646,2,soc_outcome,NA
6,1,6,5,113,6,T1,-1.6744185021797509,1,-0.24270219279983973,-0.9890860141534765,1,soc_outcome,NA
6,1,6,5,113,12,T1,-1.6744185021797509,1,-0.24270219279983973,0.02115210629574904,2,soc_outcome,NA
7,2,1,3,110,1,T1,-0.11372799312700302,1,0.17760107522584467,-0.20065107934527857,44,soc_outcome,NA
7,2,1,3,110,6,T1,-0.11372799312700302,1,0.17760107522584467,0.624380202783683,115,soc_outcome,NA
7,2,1,3,110,12,T1,-0.11372799312700302,1,0.17760107522584467,0.5751702841358848,54,soc_outcome,NA
8,1,4,2,117,1,T1,-0.12598903875542294,1,-0.19574735856427514,-0.10171723732493035,51,soc_outcome,NA
8,1,4,2,117,6,T1,-0.12598903875542294,1,-0.19574735856427514,-0.7552812688943055,17,soc_outcome,NA
8,1,4,2,117,12,T1,-0.12598903875542294,1,-0.19574735856427514,-0.8552725011889739,8,soc_outcome,NA
9,2,5,1,86,1,control,1.4355362584017024,0,-0.42130899882297457,-0.5860848625533593,16,soc_outcome,NA
9,2,5,1,86,6,control,1.4355362584017024,0,-0.42130899882297457,0.18182280044108834,28,soc_outcome,NA
