sweep_param,outcome,arm,estimator,sweep_value,power,arm_ate_pct,arm_env_outcome_delta_mean,scenario_ate_pct,is_swept
n_communities,env_outcome,T1,ITT,80,0.09333333333333334,1.05,15,80,TRUE
n_communities,env_outcome,T1,ITT,90,0.09333333333333334,1.05,15,90,TRUE
n_communities,env_outcome,T1,ITT,100,0.10666666666666667,1.05,15,100,TRUE
n_communities,env_outcome,T1,ITT,110,0.12,1.05,15,110,TRUE
n_communities,env_outcome,T1,ITT,120,0.09666666666666666,1.05,15,120,TRUE
n_communities,env_outcome,T1,ITT,130,0.12,1.05,15,130,TRUE
n_communities,env_outcome,T1,ITT,140,0.13333333333333333,1.05,15,140,TRUE
n_communities,env_outcome,T1,ITT,150,0.13333333333333333,1.05,15,150,TRUE
n_communities,env_outcome,T1,ITT,160,0.09,1.05,15,160,TRUE
n_communities,env_outcome,T1,ITT,170,0.13333333333333333,1.05,15,170,TRUE
n_communities,env_outcome,T1,ITT,180,0.13,1.05,15,180,TRUE
n_communities,env_outcome,T1,ITT,190,0.12666666666666668,1.05,15,190,TRUE
n_communities,env_outcome,T1,ITT,200,0.11,1.05,15,200,TRUE
n_communities,env_outcome,T1,TOT,80,0.09333333333333334,1.05,15,80,TRUE
n_communities,env_outcome,T1,TOT,90,0.10333333333333333,1.05,15,90,TRUE
n_communities,env_outcome,T1,TOT,100,0.11333333333333333,1.05,15,100,TRUE
n_communities,env_outcome,T1,TOT,110,0.12,1.05,15,110,TRUE
n_communities,env_outcome,T1,TOT,120,0.09666666666666666,1.05,15,120,TRUE
n_communities,env_outcome,T1,TOT,130,0.12333333333333334,1.05,15,130,TRUE
n_communities,env_outcome,T1,TOT,140,0.13333333333333333,1.05,15,140,TRUE
n_communities,env_outcome,T1,TOT,150,0.13333333333333333,1.05,15,150,TRUE
n_communities,env_outcome,T1,TOT,160,0.09333333333333334,1.05,15,160,TRUE
n_communities,env_outcome,T1,TOT,170,0.13333333333333333,1.05,15,170,TRUE
n_communities,env_outcome,T1,TOT,180,0.13333333333333333,1.05,15,180,TRUE
n_communities,env_outcome,T1,TOT,190,0.13,1.05,15,190,TRUE
n_communities,env_outcome,T1,TOT,200,0.11,1.05,15,200,TRUE
n_communities,soc_outcome,T1,ITT,80,0.02,1.05,15,80,TRUE
n_communities,soc_outcome,T1,ITT,90,0.043333333333333335,1.05,15,90,TRUE
n_communities,soc_outcome,T1,ITT,100,0.023333333333333334,1.05,15,100,TRUE
n_communities,soc_outcome,T1,ITT,110,0.02666666666666667,1.05,15,110,TRUE
n_communities,soc_outcome,T1,ITT,120,0.016666666666666666,1.05,15,120,TRUE
n_communities,soc_outcome,T1,ITT,130,0.013333333333333334,1.05,15,130,TRUE
n_communities,soc_outcome,T1,ITT,140,0.03,1.05,15,140,TRUE
n_communities,soc_outcome,T1,ITT,150,0.016666666666666666,1.05,15,150,TRUE
n_communities,soc_outcome,T1,ITT,160,0.02,1.05,15,160,TRUE
n_communities,soc_outcome,T1,ITT,170,0.03,1.05,15,170,TRUE
n_communities,soc_outcome,T1,ITT,180,0.03666666666666667,1.05,15,180,TRUE
n_communities,soc_outcome,T1,ITT,190,0.02,1.05,15,190,TRUE
n_communities,soc_outcome,T1,ITT,200,0.02666666666666667,1.05,15,200,TRUE
n_communities,soc_outcome,T1,TOT,80,0.023333333333333334,1.05,15,80,TRUE
n_communities,soc_outcome,T1,TOT,90,0.043333333333333335,1.05,15,90,TRUE
n_communities,soc_outcome,T1,TOT,100,0.023333333333333334,1.05,15,100,TRUE
n_communities,soc_outcome,T1,TOT,110,0.03,1.05,15,110,TRUE
n_communities,soc_outcome,T1,TOT,120,0.016666666666666666,1.05,15,120,TRUE
n_communities,soc_outcome,T1,TOT,130,0.016666666666666666,1.05,15,130,TRUE
n_communities,soc_outcome,T1,TOT,140,0.03,1.05,15,140,TRUE
n_communities,soc_outcome,T1,TOT,150,0.016666666666666666,1.05,15,150,TRUE
n_communities,soc_outcome,T1,TOT,160,0.023333333333333334,1.05,15,160,TRUE
n_communities,soc_outcome,T1,TOT,170,0.03333333333333333,1.05,15,170,TRUE
n_communities,soc_outcome,T1,TOT,180,0.03666666666666667,1.05,15,180,TRUE
n_communities,soc_outcome,T1,TOT,190,0.02,1.05,15,190,TRUE
n_communities,soc_outcome,T1,TOT,200,0.03333333333333333,1.05,15,200,TRUE
