sweep_param,outcome,arm,estimator,sweep_value,power,arm_ate_pct,arm_VCU_delta_mean,scenario_ate_pct,is_swept
ICC_outcome,Participation,T1,ITT,0.01,0.5566666666666666,1.5,15,0.01,TRUE
ICC_outcome,Participation,T1,ITT,0.060000000000000005,0.51,1.5,15,0.060000000000000005,TRUE
ICC_outcome,Participation,T1,ITT,0.11,0.48333333333333334,1.5,15,0.11,TRUE
ICC_outcome,Participation,T1,ITT,0.16000000000000003,0.42,1.5,15,0.16000000000000003,TRUE
ICC_outcome,Participation,T1,ITT,0.21000000000000002,0.44333333333333336,1.5,15,0.21000000000000002,TRUE
ICC_outcome,Participation,T1,TOT,0.01,0.5666666666666667,1.5,15,0.01,TRUE
ICC_outcome,Participation,T1,TOT,0.060000000000000005,0.5166666666666667,1.5,15,0.060000000000000005,TRUE
ICC_outcome,Participation,T1,TOT,0.11,0.49,1.5,15,0.11,TRUE
ICC_outcome,Participation,T1,TOT,0.16000000000000003,0.4266666666666667,1.5,15,0.16000000000000003,TRUE
ICC_outcome,Participation,T1,TOT,0.21000000000000002,0.44666666666666666,1.5,15,0.21000000000000002,TRUE
ICC_outcome,VCU,T1,ITT,0.01,0.25666666666666665,1.5,15,0.01,TRUE
ICC_outcome,VCU,T1,ITT,0.060000000000000005,0.24666666666666667,1.5,15,0.060000000000000005,TRUE
ICC_outcome,VCU,T1,ITT,0.11,0.28,1.5,15,0.11,TRUE
ICC_outcome,VCU,T1,ITT,0.16000000000000003,0.24,1.5,15,0.16000000000000003,TRUE
ICC_outcome,VCU,T1,ITT,0.21000000000000002,0.25333333333333335,1.5,15,0.21000000000000002,TRUE
ICC_outcome,VCU,T1,TOT,0.01,0.25666666666666665,1.5,15,0.01,TRUE
ICC_outcome,VCU,T1,TOT,0.060000000000000005,0.24666666666666667,1.5,15,0.060000000000000005,TRUE
ICC_outcome,VCU,T1,TOT,0.11,0.27666666666666667,1.5,15,0.11,TRUE
ICC_outcome,VCU,T1,TOT,0.16000000000000003,0.24,1.5,15,0.16000000000000003,TRUE
ICC_outcome,VCU,T1,TOT,0.21000000000000002,0.25333333333333335,1.5,15,0.21000000000000002,TRUE
