sweep_param,outcome,swept_arm,arm,estimator,sweep_value,power,arm_ate_pct,arm_VCU_delta_mean,scenario_ate_pct,is_swept
ate_pct,Participation,T1,T1,ITT,1,0.02666666666666667,1,15,1,TRUE
ate_pct,Participation,T1,T1,ITT,1.05,0.06,1.05,15,1.05,TRUE
ate_pct,Participation,T1,T1,ITT,1.1,0.08333333333333333,1.1,15,1.1,TRUE
ate_pct,Participation,T1,T1,ITT,1.15,0.09666666666666666,1.15,15,1.15,TRUE
ate_pct,Participation,T1,T1,ITT,1.2,0.14666666666666667,1.2,15,1.2,TRUE
ate_pct,Participation,T1,T1,ITT,1.25,0.18666666666666668,1.25,15,1.25,TRUE
ate_pct,Participation,T1,T1,ITT,1.3,0.23333333333333334,1.3,15,1.3,TRUE
ate_pct,Participation,T1,T1,TOT,1,0.02666666666666667,1,15,1,TRUE
ate_pct,Participation,T1,T1,TOT,1.05,0.056666666666666664,1.05,15,1.05,TRUE
ate_pct,Participation,T1,T1,TOT,1.1,0.08,1.1,15,1.1,TRUE
ate_pct,Participation,T1,T1,TOT,1.15,0.09666666666666666,1.15,15,1.15,TRUE
ate_pct,Participation,T1,T1,TOT,1.2,0.14666666666666667,1.2,15,1.2,TRUE
ate_pct,Participation,T1,T1,TOT,1.25,0.18333333333333332,1.25,15,1.25,TRUE
ate_pct,Participation,T1,T1,TOT,1.3,0.23333333333333334,1.3,15,1.3,TRUE
ate_pct,VCU,T1,T1,ITT,1,0.22333333333333333,1,15,1,TRUE
ate_pct,VCU,T1,T1,ITT,1.05,0.24,1.05,15,1.05,TRUE
ate_pct,VCU,T1,T1,ITT,1.1,0.26,1.1,15,1.1,TRUE
ate_pct,VCU,T1,T1,ITT,1.15,0.23,1.15,15,1.15,TRUE
ate_pct,VCU,T1,T1,ITT,1.2,0.26666666666666666,1.2,15,1.2,TRUE
ate_pct,VCU,T1,T1,ITT,1.25,0.24333333333333335,1.25,15,1.25,TRUE
ate_pct,VCU,T1,T1,ITT,1.3,0.21666666666666667,1.3,15,1.3,TRUE
ate_pct,VCU,T1,T1,TOT,1,0.22666666666666666,1,15,1,TRUE
ate_pct,VCU,T1,T1,TOT,1.05,0.24333333333333335,1.05,15,1.05,TRUE
ate_pct,VCU,T1,T1,TOT,1.1,0.26,1.1,15,1.1,TRUE
ate_pct,VCU,T1,T1,TOT,1.15,0.23,1.15,15,1.15,TRUE
ate_pct,VCU,T1,T1,TOT,1.2,0.26,1.2,15,1.2,TRUE
ate_pct,VCU,T1,T1,TOT,1.25,0.24666666666666667,1.25,15,1.25,TRUE
ate_pct,VCU,T1,T1,TOT,1.3,0.21666666666666667,1.3,15,1.3,TRUE
