sweep_param,outcome,arm,estimator,sweep_value,power,arm_ate_pct,arm_env_outcome_delta_mean,scenario_ate_pct,is_swept
n_communities,env_outcome,T1,ITT,100,0.22333333333333333,1.05,15,100,TRUE
n_communities,env_outcome,T1,ITT,120,0.25,1.05,15,120,TRUE
n_communities,env_outcome,T1,ITT,140,0.35,1.05,15,140,TRUE
n_communities,env_outcome,T1,ITT,160,0.30333333333333334,1.05,15,160,TRUE
n_communities,env_outcome,T1,ITT,180,0.3466666666666667,1.05,15,180,TRUE
n_communities,env_outcome,T1,ITT,200,0.41,1.05,15,200,TRUE
n_communities,env_outcome,T1,ITT,220,0.45,1.05,15,220,TRUE
n_communities,env_outcome,T1,ITT,240,0.4533333333333333,1.05,15,240,TRUE
n_communities,env_outcome,T1,ITT,260,0.52,1.05,15,260,TRUE
n_communities,env_outcome,T1,ITT,280,0.5466666666666666,1.05,15,280,TRUE
n_communities,env_outcome,T1,ITT,300,0.55,1.05,15,300,TRUE
n_communities,env_outcome,T1,TOT,100,0.22666666666666666,1.05,15,100,TRUE
n_communities,env_outcome,T1,TOT,120,0.25333333333333335,1.05,15,120,TRUE
n_communities,env_outcome,T1,TOT,140,0.3566666666666667,1.05,15,140,TRUE
n_communities,env_outcome,T1,TOT,160,0.30666666666666664,1.05,15,160,TRUE
n_communities,env_outcome,T1,TOT,180,0.35,1.05,15,180,TRUE
n_communities,env_outcome,T1,TOT,200,0.42,1.05,15,200,TRUE
n_communities,env_outcome,T1,TOT,220,0.45,1.05,15,220,TRUE
n_communities,env_outcome,T1,TOT,240,0.4533333333333333,1.05,15,240,TRUE
n_communities,env_outcome,T1,TOT,260,0.52,1.05,15,260,TRUE
n_communities,env_outcome,T1,TOT,280,0.5466666666666666,1.05,15,280,TRUE
n_communities,env_outcome,T1,TOT,300,0.55,1.05,15,300,TRUE
n_communities,soc_outcome,T1,ITT,100,0.05333333333333334,1.05,15,100,TRUE
n_communities,soc_outcome,T1,ITT,120,0.05333333333333334,1.05,15,120,TRUE
n_communities,soc_outcome,T1,ITT,140,0.06666666666666667,1.05,15,140,TRUE
n_communities,soc_outcome,T1,ITT,160,0.07666666666666666,1.05,15,160,TRUE
n_communities,soc_outcome,T1,ITT,180,0.06333333333333334,1.05,15,180,TRUE
n_communities,soc_outcome,T1,ITT,200,0.06333333333333334,1.05,15,200,TRUE
n_communities,soc_outcome,T1,ITT,220,0.06666666666666667,1.05,15,220,TRUE
n_communities,soc_outcome,T1,ITT,240,0.05,1.05,15,240,TRUE
n_communities,soc_outcome,T1,ITT,260,0.06333333333333334,1.05,15,260,TRUE
n_communities,soc_outcome,T1,ITT,280,0.06333333333333334,1.05,15,280,TRUE
n_communities,soc_outcome,T1,ITT,300,0.06666666666666667,1.05,15,300,TRUE
n_communities,soc_outcome,T1,TOT,100,0.056666666666666664,1.05,15,100,TRUE
n_communities,soc_outcome,T1,TOT,120,0.056666666666666664,1.05,15,120,TRUE
n_communities,soc_outcome,T1,TOT,140,0.06666666666666667,1.05,15,140,TRUE
n_communities,soc_outcome,T1,TOT,160,0.07666666666666666,1.05,15,160,TRUE
n_communities,soc_outcome,T1,TOT,180,0.06333333333333334,1.05,15,180,TRUE
n_communities,soc_outcome,T1,TOT,200,0.06333333333333334,1.05,15,200,TRUE
n_communities,soc_outcome,T1,TOT,220,0.07,1.05,15,220,TRUE
n_communities,soc_outcome,T1,TOT,240,0.05,1.05,15,240,TRUE
n_communities,soc_outcome,T1,TOT,260,0.06333333333333334,1.05,15,260,TRUE
n_communities,soc_outcome,T1,TOT,280,0.06333333333333334,1.05,15,280,TRUE
n_communities,soc_outcome,T1,TOT,300,0.06666666666666667,1.05,15,300,TRUE
